,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
898,Nico Sturm,26,TOT,C,74,703,722,49.3,-2.6,531,553,49.0,-2.9,7.9,89.9,97.8,33.7,66.3,11:54,10:16,10,16,1.1,150,67.3
899,Tim Stützle,20,OTT,LW,79,1114,1100,50.3,3.4,837,841,49.9,2.7,7.8,87.9,95.7,64.2,35.8,18:25,15:02,38,51,-1.2,314,56.4
900,P.K. Subban,32,NJD,D,77,1241,1241,50.0,-1.0,946,946,50.0,-0.8,8.8,90.2,99.0,51.6,48.4,18:18,16:49,23,51,2.2,264,43.2
901,C.J. Suess,27,WPG,LW,3,17,22,43.6,-10.5,10,13,43.5,-7.1,0.0,100.0,100.0,66.7,33.3,5:43,5:35,1,0,0.0,2,0.0
902,Oskar Sundqvist,27,TOT,C,59,500,702,41.6,-6.6,375,530,41.4,-5.5,13.5,91.7,105.2,38.9,61.1,13:60,11:40,12,25,-10.0,117,59.8
903,Andrej Sustr,31,TOT,D,38,393,496,44.2,-5.0,290,387,42.8,-5.6,6.4,93.2,99.6,47.5,52.5,14:43,13:37,10,15,-6.6,62,45.2
904,Pius Suter,25,DET,F,82,972,1096,47.0,1.0,729,868,45.6,-0.2,8.6,91.1,99.7,50.6,49.4,16:55,13:53,46,36,-7.9,267,62.2
905,Ryan Suter,37,DAL,D,82,1569,1505,51.0,3.3,1133,1153,49.6,0.7,8.4,91.6,100.0,50.4,49.6,23:39,19:57,19,46,1.6,265,44.5
906,Nick Suzuki,22,MTL,C,82,1138,1259,47.5,0.8,860,943,47.7,2.0,9.0,88.0,97.1,49.0,51.0,20:31,15:54,50,71,-10.9,309,60.2
907,Andrei Svechnikov,21,CAR,RW,78,1247,971,56.2,0.2,948,778,54.9,-0.9,10.5,90.9,101.4,56.0,44.0,17:16,14:21,44,72,10.5,467,53.3
908,Evgeny Svechnikov,25,WPG,LW,72,653,691,48.6,-1.4,511,534,48.9,-1.3,7.1,92.4,99.5,49.4,50.6,10:45,10:44,24,28,0.7,123,63.4
909,Brandon Tanev,30,SEA,LW,30,313,332,48.5,-0.8,234,241,49.3,0.0,9.6,92.7,102.3,49.0,51.0,14:34,12:56,10,11,1.2,77,66.2
910,Chris Tanev,32,CGY,D,82,1378,1176,54.0,-2.2,1034,892,53.7,-1.9,11.3,92.2,103.5,49.5,50.5,20:27,17:15,29,57,11.2,180,48.9
911,Vladimir Tarasenko,30,STL,RW,75,940,1074,46.7,-0.5,743,838,47.0,0.3,14.2,88.8,103.0,58.8,41.2,16:55,14:12,17,31,-1.3,382,60.2
912,Tomas Tatar,31,NJD,LW,76,996,891,52.8,3.0,742,679,52.2,2.5,7.1,88.5,95.6,56.7,43.3,14:50,12:57,27,25,7.0,244,54.1
913,John Tavares,31,TOR,C,79,1248,1111,52.9,-1.0,954,846,53.0,-0.3,10.6,88.4,98.9,56.5,43.5,18:04,15:03,40,65,10.8,429,55.2
914,Matt Tennyson,31,NSH,D,8,75,116,39.3,-5.1,59,85,41.0,-4.5,13.2,92.2,105.3,40.9,59.1,12:55,12:30,1,7,-1.5,11,45.5
915,Teuvo Teravainen,27,CAR,F,77,1020,888,53.5,-3.3,814,714,53.3,-2.9,10.8,92.2,103.0,57.0,43.0,17:42,13:08,34,52,4.3,326,62.0
916,Troy Terry,24,ANA,C/RW,75,1115,1109,50.1,4.1,857,852,50.1,4.2,11.2,87.1,98.3,47.0,53.0,18:14,16:10,35,46,1.0,327,58.7
917,Alexandre Texier,22,CBJ,C,36,380,453,45.6,-2.3,285,355,44.5,-2.3,12.0,89.3,101.3,27.8,72.2,14:36,12:44,16,5,-7.3,109,54.1
918,Shea Theodore,26,VEG,D,78,1655,1420,53.8,2.1,1220,1030,54.2,1.2,8.8,90.3,99.2,56.0,44.0,23:08,20:20,60,58,12.8,417,49.2
919,Robert Thomas,22,STL,C,72,999,1020,49.5,2.7,791,811,49.4,3.3,14.4,88.9,103.3,57.7,42.3,18:46,15:07,60,50,7.6,191,60.2
920,Nate Thompson,37,PHI,C,33,229,322,41.6,-6.9,173,243,41.6,-7.2,6.3,87.1,93.3,28.5,71.5,11:58,9:42,8,7,-6.7,41,56.1
921,Tage Thompson,24,BUF,C,78,1087,1030,51.3,4.0,832,836,49.9,3.1,11.8,85.7,97.5,58.5,41.5,17:53,14:24,49,42,1.6,457,55.4
922,Tyce Thompson,22,NJD,RW,2,16,32,33.3,-11.8,14,24,36.8,-10.1,9.1,95.0,104.1,14.3,85.7,14:25,13:38,2,2,-1.1,5,60.0
923,Lassi Thomson,21,OTT,D,16,236,234,50.2,4.6,171,183,48.3,1.8,9.2,84.5,93.7,58.2,41.8,17:15,15:26,5,7,-1.5,39,46.2
924,Joe Thornton,42,FLA,C,34,342,284,54.6,-2.9,251,213,54.1,-2.7,6.5,87.0,93.5,63.0,37.0,11:06,9:47,18,18,1.0,44,59.1
925,Chris Tierney,27,OTT,C,70,679,722,48.5,1.8,513,544,48.5,1.9,6.3,91.5,97.9,39.8,60.2,12:25,10:51,23,34,-3.3,121,59.5
926,Conor Timmins,23,ARI,D,6,85,80,51.5,5.3,66,62,51.6,5.5,6.8,84.3,91.1,45.0,55.0,17:45,15:58,3,2,-1.0,17,29.4
927,Jarred Tinordi,29,NYR,D,7,53,85,38.4,-9.1,39,65,37.5,-9.1,3.8,85.7,89.6,29.0,71.0,12:51,12:39,0,1,-0.3,15,33.3
928,Owen Tippett,22,TOT,RW,63,745,654,53.3,0.5,552,487,53.1,0.3,8.0,91.1,99.1,59.5,40.5,13:25,11:43,36,25,1.6,213,59.2
929,Vladimir Tkachev,26,LAK,F,4,19,43,30.6,-26.8,14,24,36.8,-18.2,0.0,90.9,90.9,59.3,40.7,13:59,11:21,0,2,-0.4,4,25.0
930,Brady Tkachuk,22,OTT,LW,79,1242,1164,51.6,5.4,910,913,49.9,2.9,10.0,89.0,98.9,61.5,38.5,18:48,15:32,41,68,-2.0,461,62.5
931,Matthew Tkachuk,24,CGY,LW,82,1413,948,59.8,6.3,1076,742,59.2,6.0,14.0,91.0,105.0,53.3,46.8,17:54,14:57,41,91,28.8,455,55.6
932,Devon Toews,27,COL,D,66,1468,1133,56.4,5.8,1089,865,55.7,5.8,12.3,92.1,104.4,52.2,47.8,25:22,20:45,45,34,12.3,267,59.2
933,Jonathan Toews,33,CHI,C,71,874,927,48.5,3.5,644,697,48.0,3.1,9.7,89.2,98.8,45.4,54.6,17:29,13:22,48,34,-4.6,188,66.5
934,Tyler Toffoli,29,TOT,C,74,916,864,51.5,-0.1,690,667,50.8,0.2,8.4,90.4,98.9,53.2,46.8,16:18,12:46,27,35,-2.0,329,59.3
935,Eeli Tolvanen,22,NSH,RW,75,799,794,50.2,0.3,598,597,50.0,-0.5,8.1,90.9,99.0,50.8,49.2,13:26,11:35,15,21,-2.4,266,56.8
936,Philip Tomasino,20,NSH,C,76,676,653,50.9,1.9,534,481,52.6,3.3,9.2,91.0,100.1,53.4,46.6,11:32,10:11,17,23,1.7,189,58.7
937,Dominic Toninato,27,WPG,C,77,358,482,42.6,-7.5,259,354,42.3,-8.1,7.4,92.9,100.3,37.2,62.8,8:24,6:53,11,10,-4.9,88,50.0
938,Alexey Toropchenko,22,STL,RW,28,218,301,42.0,-4.6,174,225,43.6,-2.8,5.6,89.3,95.0,36.8,63.2,10:43,10:40,5,5,-0.1,66,65.2
939,Brayden Tracey,20,ANA,LW,1,4,11,26.7,-20.5,3,10,23.1,-24.6,0.0,87.5,87.5,16.7,83.3,9:21,9:21,0,0,-0.3,1,100.0
940,Yakov Trenin,25,NSH,C,80,868,909,48.8,-0.5,664,682,49.3,-0.4,8.1,93.8,101.9,34.1,65.9,14:40,12:49,37,24,-4.3,243,56.0
941,Vincent Trocheck,28,CAR,C,81,1144,907,55.8,-0.1,880,711,55.3,0.1,9.7,93.0,102.7,53.0,47.0,17:52,13:12,50,42,5.3,300,56.0
942,Jacob Trouba,27,NYR,D,81,1374,1451,48.6,2.0,1052,1078,49.4,2.4,10.0,92.9,103.0,44.9,55.1,22:26,19:05,24,63,-5.0,388,52.6
943,Alexander True,24,SEA,F,8,36,48,42.9,-7.2,23,39,37.1,-13.0,5.3,87.5,92.8,63.2,36.8,8:15,8:14,1,1,0.9,7,85.7
944,Alex Tuch,25,BUF,RW,50,688,629,52.2,5.4,542,494,52.3,6.9,11.0,86.5,97.5,58.8,41.2,18:25,14:05,40,25,6.1,228,61.0
945,Riley Tufte,23,DAL,LW,10,43,70,38.1,-10.9,33,52,38.8,-10.7,10.5,94.9,105.4,26.9,73.1,7:12,7:07,1,3,-0.8,8,62.5
946,Alex Turcotte,20,LAK,C,8,75,61,55.1,-4.5,57,43,57.0,-4.1,5.1,93.1,98.2,64.1,35.9,11:16,10:54,3,3,-0.8,19,68.4
947,Kyle Turris,32,EDM,C,23,165,176,48.4,-3.6,118,132,47.2,-4.3,4.9,91.3,96.3,46.1,53.9,8:37,8:09,9,5,-3.9,43,48.8
948,T.J. Tynan,29,LAK,C,2,14,16,46.7,-7.6,9,11,45.0,-14.0,0.0,100.0,100.0,66.7,33.3,10:51,8:39,0,0,-0.3,4,75.0
949,Urho Vaakanainen,23,TOT,D,29,394,499,44.1,-4.4,311,392,44.2,-4.8,11.3,88.5,99.9,51.5,48.5,19:19,17:31,7,8,-4.2,55,49.1
950,Juuso Valimaki,23,CGY,D,9,139,140,49.8,-4.0,100,110,47.6,-5.0,7.0,93.8,100.8,45.8,54.2,15:42,14:46,3,3,0.3,21,52.4
951,James van Riemsdyk,32,PHI,LW,82,999,1084,48.0,1.4,749,816,47.9,1.2,7.8,88.9,96.7,52.5,47.5,16:07,13:29,30,29,-1.9,285,65.6
952,Trevor van Riemsdyk,30,WSH,D,72,938,981,48.9,-2.3,707,703,50.1,-1.8,9.3,89.7,99.0,54.1,45.9,17:28,14:39,30,19,-0.3,147,51.0
953,Frank Vatrano,27,TOT,LW,71,871,730,54.4,-0.8,651,548,54.3,-0.5,8.0,91.6,99.6,55.0,45.0,13:10,12:18,22,27,8.6,266,60.5
954,Mike Vecchione,28,WSH,RW,1,4,5,44.4,-15.3,4,4,50.0,-10.3,0.0,50.0,50.0,50.0,50.0,5:06,5:06,0,0,-0.2,3,100.0
955,Lukas Vejdemo,26,MTL,C,6,36,52,40.9,-5.1,29,45,39.2,-7.8,3.8,88.9,92.7,34.6,65.4,10:38,8:20,4,3,-0.8,11,90.9
956,Joe Veleno,22,DET,C,66,602,745,44.7,-2.1,451,566,44.3,-1.2,6.9,91.2,98.1,43.5,56.5,13:13,12:28,19,12,-13.0,125,58.4
957,Carter Verhaeghe,26,FLA,C,78,1297,896,59.1,3.2,979,688,58.7,3.0,9.8,91.5,101.3,53.0,47.0,16:03,14:37,63,47,21.4,312,53.5
958,Kristian Vesalainen,22,WPG,W,53,348,426,45.0,-5.4,254,313,44.8,-5.3,6.4,90.7,97.1,50.9,49.1,8:40,8:35,5,8,-2.2,64,67.2
959,Jimmy Vesey,28,NJD,LW,68,744,763,49.4,-2.1,555,585,48.7,-2.4,5.5,89.0,94.6,37.7,62.3,14:25,12:08,57,33,-2.3,185,59.5
960,Jeffrey Viel,25,SJS,F,34,219,281,43.8,-2.0,166,202,45.1,-1.9,4.9,94.4,99.3,59.1,40.9,8:48,8:46,13,9,-0.3,52,57.7
961,Gabriel Vilardi,22,LAK,C,25,215,258,45.5,-8.7,167,187,47.2,-7.4,8.3,89.9,98.2,48.6,51.4,13:31,11:41,6,5,-2.2,60,68.3
962,Alex Vlasic,20,CHI,D,15,150,191,44.0,-1.6,114,147,43.7,-1.4,10.2,90.5,100.7,51.0,49.0,14:19,13:56,5,5,1.7,21,57.1
963,Marc-Edouard Vlasic,34,SJS,D,75,810,1052,43.5,-2.8,620,755,45.1,-2.5,6.0,90.3,96.3,41.4,58.6,15:13,14:21,17,31,-7.5,145,43.4
964,Jakub Voracek,32,CBJ,RW,79,985,1100,47.2,-1.0,732,867,45.8,-1.4,10.7,90.4,101.1,58.2,41.8,17:28,14:13,44,51,-14.8,253,58.1
965,Jakub Vrana,25,DET,LW,26,289,325,47.1,1.5,223,261,46.1,2.4,8.6,88.2,96.9,56.2,43.8,14:56,12:35,12,16,-5.1,107,60.7
966,Chris Wagner,30,BOS,C,1,9,14,39.1,-15.1,8,10,44.4,-12.4,0.0,88.9,88.9,25.0,75.0,15:57,13:50,0,0,-0.3,3,66.7
967,Oliver Wahlstrom,21,NYI,RW,73,717,777,48.0,2.7,555,578,49.0,3.7,7.8,92.0,99.8,57.1,42.9,12:04,10:35,19,20,0.3,276,56.9
968,Nathan Walker,27,STL,C,30,259,297,46.6,0.7,212,214,49.8,5.1,9.6,90.5,100.1,46.5,53.5,11:33,11:30,8,6,6.0,64,59.4
969,Sean Walker,27,LAK,D,6,90,79,53.3,-0.8,70,61,53.4,-1.8,3.7,93.3,97.0,58.5,41.5,18:22,15:44,1,1,-0.7,32,56.3
970,Jake Walman,25,TOT,D,51,591,584,50.3,3.6,439,432,50.4,5.1,6.7,91.3,98.0,52.6,47.4,14:01,12:60,9,22,1.3,173,50.3
971,Reilly Walsh,22,NJD,D,1,16,9,64.0,9.8,13,7,65.0,15.8,8.3,100.0,108.3,40.0,60.0,14:23,13:24,0,1,0.2,3,66.7
972,Austin Watson,30,OTT,LW,67,552,712,43.7,-5.8,422,511,45.2,-3.7,8.2,92.6,100.7,22.6,77.4,11:59,10:30,15,15,-10.1,148,59.5
973,Jasper Weatherby,24,SJS,C,50,360,475,43.1,-3.5,274,342,44.5,-3.9,6.8,90.1,96.9,43.4,56.6,11:14,9:58,18,14,-5.0,82,54.9
974,MacKenzie Weegar,28,FLA,D,80,1772,1267,58.3,2.5,1344,952,58.5,3.3,10.7,89.8,100.4,59.5,40.5,23:22,19:54,74,85,28.2,391,51.9
975,Alexander Wennberg,27,SEA,C,80,1053,1018,50.8,-0.3,779,779,50.0,-0.8,8.3,87.3,95.7,48.0,52.0,17:51,14:59,45,37,-1.2,152,62.5
976,Zach Werenski,24,CBJ,D,68,1434,1419,50.3,4.0,1063,1108,49.0,3.9,10.0,89.3,99.3,57.0,43.0,25:40,20:52,39,39,-11.2,428,50.5
977,Blake Wheeler,35,WPG,RW,65,1002,998,50.1,1.3,767,764,50.1,1.0,9.6,88.8,98.4,58.4,41.6,19:32,16:04,32,36,-0.7,263,63.5
978,Colin White,25,OTT,C,24,310,243,56.1,6.7,211,177,54.4,5.2,5.7,86.3,91.9,56.0,44.0,15:20,12:40,4,10,-1.0,72,65.3
979,Colton White,24,NJD,D,27,293,341,46.2,-5.0,223,266,45.6,-5.3,11.0,92.1,103.1,43.0,57.0,13:15,12:57,1,10,0.9,45,40.0
980,Zach Whitecloud,25,VEG,D,59,962,873,52.4,-1.7,729,614,54.3,-0.6,11.2,90.6,101.8,48.5,51.5,18:48,17:02,13,26,5.9,188,50.0
981,Chris Wideman,32,MTL,D,64,720,709,50.4,4.5,537,540,49.9,4.4,7.5,87.6,95.0,59.0,41.0,14:53,12:20,13,57,-2.8,148,51.4
982,Maxwell Willman,26,PHI,C,41,336,448,42.9,-3.5,266,335,44.3,-2.1,5.8,90.0,95.7,33.3,66.7,11:46,11:21,14,8,-2.6,100,65.0
983,Tom Wilson,27,WSH,RW,78,1038,986,51.3,1.5,788,731,51.9,1.0,12.8,89.2,102.1,65.5,34.5,18:35,14:27,36,44,2.2,279,54.1
984,Luke Witkowski,31,DET,D,1,5,10,33.3,-4.8,4,7,36.4,3.0,0.0,100.0,100.0,20.0,80.0,9:18,9:18,0,0,-0.2,0,
985,Christian Wolanin,26,TOT,D,9,113,104,52.1,0.2,89,77,53.6,3.0,7.1,92.1,99.2,50.0,50.0,14:42,13:11,6,3,-1.0,11,45.5
986,Miles Wood,26,NJD,LW,3,22,46,32.4,-24.1,17,38,30.9,-28.4,0.0,92.6,92.6,39.1,60.9,14:46,13:19,0,4,-0.7,8,25.0
987,Kailer Yamamoto,23,EDM,RW,81,1155,1149,50.1,-3.1,851,892,48.8,-3.8,10.0,90.2,100.2,48.9,51.1,16:52,14:53,34,38,-1.0,188,60.6
988,Keith Yandle,35,PHI,D,77,818,942,46.5,-0.7,595,713,45.5,-2.1,5.7,87.8,93.5,61.0,39.0,13:59,11:49,11,39,-14.6,233,45.1
989,Jesse Ylönen,22,MTL,RW,14,112,136,45.2,0.1,91,106,46.2,1.3,14.3,91.6,105.9,48.3,51.7,11:34,10:18,2,3,-0.8,27,59.3
990,Cameron York,21,PHI,D,30,420,451,48.2,4.0,319,343,48.2,3.4,8.2,87.3,95.5,50.4,49.6,19:05,16:14,5,12,-3.6,72,45.8
991,Pavel Zacha,24,NJD,C,70,1014,871,53.8,3.3,771,672,53.4,3.3,8.4,87.6,96.0,53.7,46.3,16:51,14:16,33,40,6.5,264,56.1
992,Filip Zadina,22,DET,RW,74,813,878,48.1,2.7,612,678,47.4,2.5,7.6,89.3,96.9,50.7,49.3,14:11,12:20,24,30,-8.7,284,54.2
993,Nikita Zadorov,26,CGY,D,74,1265,867,59.3,4.8,960,696,58.0,3.3,7.3,92.6,99.8,62.6,37.4,16:55,15:57,32,61,8.1,225,47.1
994,Nikita Zaitsev,30,OTT,D,62,859,1048,45.0,-3.7,657,776,45.8,-3.0,8.9,91.1,100.1,34.0,66.0,18:59,16:06,13,35,-9.0,138,47.1
995,Yegor Zamula,21,PHI,D,10,127,122,51.0,3.7,103,92,52.8,6.2,3.9,87.8,91.8,50.6,49.4,16:21,15:20,3,8,0.6,11,36.4
996,Jakub Zboril,24,BOS,D,10,156,110,58.6,9.3,133,86,60.7,10.1,6.5,90.6,97.2,58.3,41.7,15:44,14:58,1,4,3.0,20,65.0
997,Trevor Zegras,20,ANA,C,75,1095,1032,51.5,5.3,830,810,50.6,3.9,9.1,87.3,96.5,73.5,26.5,17:54,15:15,40,71,8.2,333,54.4
998,Fabian Zetterlund,22,NJD,W,14,162,145,52.8,4.6,118,114,50.9,3.0,14.1,91.8,105.9,51.1,48.9,13:21,11:48,3,1,3.6,50,72.0
999,Mika Zibanejad,28,NYR,C,81,1067,1094,49.4,2.8,825,795,50.9,4.3,11.8,91.9,103.7,48.0,52.0,19:38,14:46,62,58,0.4,383,57.2
1000,Radim Zohorna,25,PIT,F,17,148,117,55.8,5.3,113,101,52.8,1.3,15.5,98.6,114.0,38.6,61.4,10:20,9:49,6,1,1.9,24,37.5
1001,Artem Zub,26,OTT,D,81,1326,1434,48.0,0.4,1006,1069,48.5,1.1,8.1,92.3,100.4,49.9,50.1,21:02,18:54,14,60,-7.1,194,47.4
1002,Mats Zuccarello,34,MIN,LW,70,1098,945,53.7,4.1,827,709,53.8,4.0,12.8,90.1,102.9,61.8,38.2,18:35,15:25,48,43,7.8,268,59.3
1003,Jason Zucker,30,PIT,LW,41,492,473,51.0,-0.6,392,349,52.9,0.6,8.1,89.9,98.0,46.8,53.2,14:49,13:18,15,22,3.9,146,69.9
